pid,name,desc,purl,imgurl,actualp,rrpp,brand,stockquant,category,currency,delcost,deltime,condition
"45376764313770","Barbour Foley Slipper Brown","The Barbour Foley Slippers comes with a branded badge on the side, featuring a slip-on style wear and suede upper. Coming in Camel colour, these slippers sport a cushioned footbed and strap. These slippers are made from recycled plastic bottles. Wipe with damp cloth Suede","https://thesportinglodge.myshopify.com/products/barbour-foley-slipper-brown","https://cdn.shopify.com/s/files/1/0600/7789/9946/products/Barbour-Foley-Slipper-Brown---26033---1.jpg?v=1706527552","42.00","49.95","Barbour","1","SLIPPERS","GBP","3.95","2-3 working days","new"
"45376766116010","Beretta B-Xtreme GTX Jacket Veil Avayde","The Beretta B-Xtreme GTX Jacket is designed especially for waterfowl hunting where gear durability and protection from the elements are essential. It is waterproof, windproof, and extremely durable thanks to the Gore-Tex 3L Tricot Laminate this jacket is constructed with. The Gore-Tex 3L Tricot Laminate this jacket is constructed of makes it waterproof, windproof, and extremely durable. In addition, this jacket is very breathable which prevents overheating during strenuous activity but allows heat retention when stopped. To make this jacket even tougher critical areas are reinforced with a fabric containing 16% Kevlar®. The cuff is made of Gore-Tex stretch material that is extremely elastic and waterproof. This jacket is available in Veil Avayde™, an advanced Waterfowl Concealment Camo designed for reeds and marshes. Designed for duck hunting where wetlands, potholes, small lakes and swamps are the main environments, the waterfowler articles guarantee waterproofness, breathability and resistance. Features Ergonomic hood Waterproof YKK zip 2 YKK zippered chest pockets 2 front pockets with inside reinforcement 2 ventilation YKK zips under the arms Reinforced inserts with Kevlar ® Velcro wrist regulation Utility welded tape call for ducks Beretta rubber logo on left sleeve Fitting: comfort fit","https://thesportinglodge.myshopify.com/products/beretta-b-xtreme-gtx-jacket-veil-avayde","https://cdn.shopify.com/s/files/1/0600/7789/9946/files/23160-1.jpg?v=1785905290","340.00","599.00","Beretta","1","JACKETS","GBP","3.95","2-3 working days","new"
"45376766378154","Beretta Tosark Pants Green Moss","Designed specifically for silent hunting, Tosark men's hunting trousers provide waterproof and breathable protection. Crafted with soft, noiseless microfiber and elastic inserts for greater mobility, they feature the Beretta Waterproof Breathable (BWB) EVO membrane and Durable Water Repellent (DWR) treatment. Easily combined with the Tosark or Tri-Active EVO jacket, these trousers are perfect for the Open Country environment where silent, breathable protection is necessary.","https://thesportinglodge.myshopify.com/products/beretta-tosark-pants-green-moss","https://cdn.shopify.com/s/files/1/0600/7789/9946/files/Beretta-Tosark-Pants-Green-Moss_0003_Layer-71_a38148dd-3087-4c45-be61-95858c214d34.jpg?v=1713933781","165.95","165.95","Beretta","1","TROUSERS","GBP","3.95","2-3 working days","new"
"45376767197354","Carhartt WIP L/S Madison Shirt Dark Navy / White","The L/S Madison Shirt is a classic button-down created in a midweight cotton twill, with a curved hem and contrast button detailing. regular fit heavy garment washed button-down collar logo embroidery WIP script label","https://thesportinglodge.myshopify.com/products/carhartt-wip-l-s-madison-shirt-dark-navy-white","https://cdn.shopify.com/s/files/1/0600/7789/9946/products/CarharttWIPLSMadisonShirtDarkNavyWhite_1.jpg?v=1706610145","55.00","80.00","Carhartt WIP","1","L/S SHIRTS","GBP","3.95","2-3 working days","new"
"45376768835754","Elmer Gloves Gore-Tex Line Mitten Black","The Elmer Gloves Gore-Tex Line Mittens are made from a sleek, lightweight nylon shell. Featuring a reflective Elmer logo on the wrist and a full leather palm for durability. 100% nylon outer 100% polyester insulated lining GORE-TEX® waterproof lining Adjustment cord at the cuff","https://thesportinglodge.myshopify.com/products/elmer-gloves-gore-tex-line-mitten-black","https://cdn.shopify.com/s/files/1/0600/7789/9946/products/Elmer-Gloves-Gore-Tex-Line-Mitten-Black---21603---1.jpg?v=1704976511","160.00","160.00","Elmer Gloves","1","GLOVES","GBP","3.95","2-3 working days","new"
"45376769392810","Filson Tin Game Bag Dark Tan","Filson's Tin Game Bag is crafted from the brand's infamous, tried and tested waxed canvas for complete protection whilst on your hunt or shoot. Water-repellent and durable, this Filson Game Bag allows you free movement and comfortability. Details 14-oz. oil finish Tin Cloth Water-repellent, abrasion-resistant fabic Rear-loading game bag Adjustable cotton shoulder straps Two expandable shell pockets Made in the USA Care:Do not wash or dry clean – brush or wipe clean with a damp rag. Rewax as needed to maintain maximum water resistance. To prevent the transfer of oils, Filson recommends avoiding prolonged contact between Filson oil finish goods and light-coloured fabrics, especially in warm weather.","https://thesportinglodge.myshopify.com/products/filson-tin-game-bag-dark-tan","https://cdn.shopify.com/s/files/1/0600/7789/9946/products/23030-1.jpg?v=1704976535","275.00","275.00","Filson","1","SHOOTING GAME BAGS","GBP","3.95","2-3 working days","new"
"45376769556650","Fjallraven Abisko Lite Fleece Half Zip Dark Navy","Light and comfortable fleece sweater with a half-length zipper – Abisko Lite Fleece Half Zip M is great to wear as a first or mid layer in warm climates. It is made from recycled polyester that transports moisture away from the body and dries fast. Regular fit with discreet thumbholes in the cuffs. Made from recycled polyester that transports away moisture and dries fast. Great as a first or mid layer in warm climates. Discreet thumbholes in the cuffs. Regular fit. Dyed using a sustainable, closed-loop method based on C02 instead of water. Breathable, Channels moisture, Lightweight, Packable","https://thesportinglodge.myshopify.com/products/fjallraven-abisko-lite-fleece-half-zip-dark-navy","https://cdn.shopify.com/s/files/1/0600/7789/9946/files/FjallravenAbiskoLiteFleeceHalfZipDarkNavy2.jpg?v=1785905229","100.00","100.00","Fjallraven","1","FLEECE PULLOVERS","GBP","3.95","2-3 working days","new"
"45376770277546","Fjallraven Kaipak Trousers Black Regular Leg","Hardwearing trekking trousers in G-1000 Eco with recycled polyester/organic cotton – Kaipak Trousers M are casual yet technical trekking trousers that work just as well on the trail as for everyday use. They are slightly wind and shower resistant, and readily release moisture when the pace picks up. The hybrid construction has stretch panels at the waist, crotch and back of the knees, and the articulated cut with pre-shaped knees and rear provides good freedom of movement. Two large leg pockets with discreet bellows, two hand pockets and leg endings with adjustments and boot hooks. Wind- and water-resistant G-1000 Eco with recycled polyester/organic cotton. Stretch panels at the waist, crotch and back of knees for freedom of movement. Two large leg pockets with discreet bellows, two hand pockets. Articulated cut with pre-shaped knees and rear. Leg endings with adjustments and boot hooks. Adaptable with Greenland Wax, Durable, Water-resistant, Wind resistant, Stretch","https://thesportinglodge.myshopify.com/products/fjallraven-kaipak-trousers-black-regular-leg","https://cdn.shopify.com/s/files/1/0600/7789/9946/products/FjallravenKaipakTrousersBlackShortLeg_1_17be453a-ce2e-4c22-8303-c5f44757e6cd.jpg?v=1704976584","170.00","170.00","Fjallraven","1","TROUSERS","GBP","3.95","2-3 working days","new"
"45376770605226","Fjallraven Keb Eco Shell Trousers Black","A three-layered trouser that is technically designed for optimum performance, fit and comfort, the Fjallravem Keb Eco-Shell Trousers will carry you through your winter adventures in the testing temperatures. Details Three-layered trousers for changeable weather conditions Wind and waterproof Durable Eco-Shell lightweight Flurocarbon-free impregnation Hand pockets: zip closure Two-way Aquaguard side zips Ventilation Velcro adjustments","https://thesportinglodge.myshopify.com/products/fjallraven-keb-eco-shell-trousers-black","https://cdn.shopify.com/s/files/1/0600/7789/9946/products/Fjallraven-Keb-Eco-Shell-Trousers-Black-16974-1.jpg?v=1706619181","235.00","420.00","Fjallraven","1","TROUSERS","GBP","3.95","2-3 working days","new"
"45376771752106","Fjallraven Ovik Fleece Hoodie Navy","The¬†Fjallraven Ovik Fleece Hoodie is a casual item which is ideal for layering when out and about. It offers an adjustable drawstring hood and an adjustable hem with toggles for warmth and protection. This hoodie is really practical with a full zip close and two concealed zip close waist pockets all with with branded tan leather pull tabs. Made from a polyester and cotton mix with reinforced elbow/lower arms, this is a comfortable yet hard-wearing item. A tan leather brand badge is located on the left arm and a small woven Swedish flag can be found on the lower left seam paying respect to the brand's heritage.","https://thesportinglodge.myshopify.com/products/fjallraven-ovik-fleece-hoodie-navy","https://cdn.shopify.com/s/files/1/0600/7789/9946/files/FjallravenOvikFleeceHoodieNavy2.jpg?v=1785905229","180.00","180.00","Fjallraven","1","FLEECE JACKETS","GBP","3.95","2-3 working days","new"
